lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.18576613487108717,"[2.0, 1.0, 1e-06]",[[-5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,5.551115123125783e-13,[[nan]],[nan]
0.18723894461534152,"[2.0, 1.0, 1e-06]",[[1.1102230246251565e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,1.1102230246251565e-12,[[1.0536712127723508e-06]],[1.0536712127723508e-06]
0.18759368193949133,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,0.0,[[nan]],[nan]
0.18760929276503358,"[2.0, 1.0, 1e-06]",[[-5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573604,5.551115123125783e-13,[[nan]],[nan]
0.1879035790364767,"[2.0, 1.0, 1e-06]",[[-5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,5.551115123125783e-13,[[nan]],[nan]
0.18832197481135182,"[2.0, 1.0, 1e-06]",[[-1.6653345369377348e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,1.6653345369377348e-12,[[nan]],[nan]
0.1884743030123014,"[2.0, 1.0, 1e-06]",[[-5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,5.551115123125783e-13,[[nan]],[nan]
0.18853023387416024,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,0.0,[[nan]],[nan]
0.18871221002891925,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573613,0.0,[[nan]],[nan]
0.18883642047563898,"[2.0, 1.0, 1e-06]",[[-1.1102230246251565e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573604,1.1102230246251565e-12,[[nan]],[nan]
